Question,Answer
How do I apply for annual leave?,"You can apply for annual leave via the company HR portal. Submit your request at least 2 weeks in advance. Your manager must approve before submission to payroll."
What is the company's remote work policy?,"Employees may work remotely up to 2 days per week. Remote days must be approved by your manager and cannot be consecutive without special approval."
How can I update my payroll bank account?,"Submit your bank update request via HRIS > Payroll section. Changes take effect within 2 pay cycles. Ensure you provide correct account details to avoid delays."
What are the working hours?,"Standard working hours are 9 AM to 5 PM, Monday to Friday. Flexible arrangements are available upon manager approval."
How do I request a sick leave?,"Report sick leave to your manager as soon as possible. Medical certificates are required for absences exceeding 3 consecutive days."
What is the company's health insurance coverage?,"All employees are covered under the company health insurance plan. Coverage includes medical, dental, and vision. Dependents can be added during open enrollment."
When is the next company holiday?,"Company holidays include New Year, Independence Day, Thanksgiving, and Christmas. See the HR portal for the complete holiday calendar."
How do I access my pay stubs?,"Pay stubs are available in the HRIS portal under Payroll > Pay Stubs. You can download PDF copies for your records."
What is the professional development budget?,"Each employee receives $2,000 annually for training and professional development. Submit requests via the Learning Portal for approval."
How do I request a transfer to another department?,"Contact HR to discuss transfer opportunities. You must complete at least 1 year in your current role before requesting a transfer."
What is the overtime policy?,"Overtime is compensated at 1.5x your regular rate. All overtime must be pre-approved by your manager and documented in the HR system."
How do I enroll in the company retirement plan?,"Retirement plan enrollment happens during onboarding. The company matches 50% of employee contributions up to 6% of salary."
What is the maternity and paternity leave policy?,"Eligible employees receive 12 weeks of paid maternity leave and 4 weeks of paid paternity leave. Contact HR for specific eligibility requirements."
How do I report a workplace concern or complaint?,"Use the anonymous HR Hotline or submit a formal complaint via the HR portal. All complaints are handled confidentially and investigated promptly."
What benefits are available to remote employees?,"Remote employees receive the same benefits as office employees. Home office equipment stipends of $500 are available upon request."
